IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.57.211,443,443,true,FRA,Europe,Frankfurt,257,0.95
129.151.205.193,443,443,true,ARN,Europe,Stockholm,282,0.94
143.47.177.35,443,443,true,FRA,Europe,Frankfurt,274,0.93
194.35.119.193,443,443,true,FRA,Europe,Frankfurt,294,0.91
59.3.3.161,443,443,true,ICN,Asia Pacific,Seoul,87,0.89
34.154.114.64,443,443,true,FRA,Europe,Frankfurt,257,0.88
34.34.5.22,443,443,true,FRA,Europe,Frankfurt,241,0.87
158.179.203.23,443,443,true,OSL,Europe,Oslo,307,0.86
158.101.221.211,443,443,true,FRA,Europe,Frankfurt,230,0.85
3.122.86.99,443,443,true,FRA,Europe,Frankfurt,193,0.84
5.133.8.249,443,443,true,FRA,Europe,Frankfurt,185,0.82
141.147.92.7,443,443,true,FRA,Europe,Frankfurt,230,0.81
89.110.69.244,443,443,true,AMS,Europe,Amsterdam,268,0.81
140.238.120.21,443,443,true,FRA,Europe,Frankfurt,265,0.79
34.154.70.157,443,443,true,FRA,Europe,Frankfurt,252,0.75
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,49,0.74
107.148.42.163,443,443,true,LAX,North America,Los Angeles,150,0.72
45.8.157.16,443,443,true,ATL,North America,Atlanta,230,0.70
34.154.172.44,443,443,true,FRA,Europe,Frankfurt,215,0.69
143.47.253.72,443,443,true,FRA,Europe,Frankfurt,279,0.69
5.255.112.197,443,443,true,AMS,Europe,Amsterdam,253,0.66
193.142.59.192,443,443,true,AMS,Europe,Amsterdam,220,0.65
38.180.15.45,443,443,true,FRA,Europe,Frankfurt,273,0.65
141.144.193.52,443,443,true,FRA,Europe,Frankfurt,259,0.61
